Cleaned Text,Queried Text,New Queried Text
controlled substance- possession with intent  pro to deliver less than  50 grams of cocaine/,['controlled substance - possession'],['controlled substance - possession with intent pro to deliver less than 50 grams of cocaine']
": possession of  proceeds from  violation of ucdsa,
: possession of  controlled dangerous substance (cocaine) with  intent,
: possession of  paraphernalia/,
: possession of  offensive weapon  while committing a  felony","['possession of controlled dangerous substance', 'possession of offensive weapon while committing a felony', 'possession of paraphernalia', 'possession of proceeds from violation of ucdsa']","['possession of proceeds from violation of ucdsa , : possession of controlled dangerous substance', 'possession of proceeds from violation of ucdsa , : possession of controlled dangerous substance', 'possession of proceeds from violation of ucdsa , : possession of controlled dangerous substance', 'possession of proceeds from violation of ucdsa , : possession of controlled dangerous substance']"
possession of a  controlled substance  with intent to deliver  more than 4 grams  less than 200 grams ,['possession of a controlled substance'],['possession of a controlled substance with intent to deliver more than 4 grams less than 200 grams']
"conspiracy to  violate narcotics  laws, possession of  a controlled  substance,  possession with  intent to distribute  a controlled  substance, and  possession with  intent to distribute  a controlled  substance within  1,000 feet of a  school/ ","['conspiracy to violate narcotics laws , possession of a controlled substance']","['conspiracy to violate narcotics laws , possession of a controlled substance']"
possession of a controlled substance pr with intent to  manufacture or deliver/  to ,['possession of a controlled substance'],['possession of a controlled substance pr with intent to manufacture or deliver / to']
"possession of a  controlled substance:  amphetamine, with  intent to deliver  35047a  ",['possession of a controlled substance'],['possession of a controlled substance : amphetamine']
08 pleseim of an assst relpr vio relre sch co sen w nu possession with intent  to distribute a quantity  of a mixture and  substance containing a  detectable amount of  fentanyl; and a  quantity of a mixture  and substance  containing a  detectable amount of  cocaine base/  ,['possession'],['possession with intent to distribute a quantity of a mixture and substance containing a detectable amount of fentanyl']
controlled dangerous  substance –  manufacture/distribute  /possession with intent  to distribute marijuana  less than 10 ounces;  ,['controlled dangerous substance'],['controlled dangerous substance']
controlled dangerous  substance –  manufacture/distribute  /possession with intent  to distribute marijuana  less than 10 ounces;  ,['controlled dangerous substance'],['controlled dangerous substance']
"kilograms of cocaine  within 1,000 feet of a  protected location, in  violation of title criminal case. no.  10-245-20 (fab)  se of yeco of (tse rev se yeex th the plea agreement stipula a seller within the drug traff et quantity amounts of heroin tiple kilograms of said drugs w he plea agreement, ms. valle-d e possessed with intent to distrib ilograms of cocaine.  017, the us probation office fil release alleging the defendant stances. on august 10, 2017, th aring conceding to probable c ith persons engaged in crimina and violation of condition no.  aw enforcement. on decembe she was sentenced to time-ser 14","['kilograms of cocaine within 1 , 000 feet of a protected location , in violation of title criminal case']","['kilograms of cocaine within 1 , 000 feet of a protected location , in violation of title criminal case']"
